Country,NumAirports,Degree,DegreeCentrality,Betweenness,Closeness,Eigenvector
Mongolia,9,7,0.03125,3.218609139131804e-05,0.3922942206654991,0.01786382843784294
British Virgin Islands,2,5,0.02232142857142857,1.3679799273969677e-05,0.3236994219653179,0.0017792388627651833
Cayman Islands,3,6,0.026785714285714284,7.738767834972386e-05,0.3929824561403509,0.009066915330437696
Antigua and Barbuda,1,16,0.07142857142857142,0.005382161137720044,0.4628099173553719,0.02673873777089564
Guernsey,2,5,0.02232142857142857,0.0,0.42105263157894735,0.019693368690772792
Kiribati,2,4,0.017857142857142856,0.0010063076392807506,0.39436619718309857,0.00401979618262349
United Arab Emirates,8,91,0.40625,0.056089620443840464,0.6103542234332425,0.1840540022739519
Guatemala,2,10,0.04464285714285714,0.00023851470212833705,0.4080145719489982,0.011821971721200674
Afghanistan,4,8,0.03571428571428571,3.5827663788005716e-05,0.4,0.019447154557213176
Cameroon,5,17,0.07589285714285714,0.0006801253610481554,0.4332688588007737,0.026995047759040654
Luxembourg,1,20,0.08928571428571427,0.00012724037860350655,0.44889779559118237,0.06476602393025134
Aruba,1,9,0.040178571428571425,0.00012495885169487093,0.42105263157894735,0.015987722441550372
Suriname,1,7,0.03125,0.0003773122580042841,0.3936731107205624,0.008117835356812401
Bulgaria,4,24,0.10714285714285714,6.978506395056266e-05,0.463768115942029,0.08176349845652231
Slovakia,2,9,0.040178571428571425,0.0,0.42585551330798477,0.032866071010855445
Netherlands,5,84,0.375,0.037832160988218316,0.5941644562334217,0.18109621948910912
Morocco,13,51,0.22767857142857142,0.02450254879094747,0.5233644859813084,0.10194636841110687
Mauritania,3,7,0.03125,4.547954612174192e-05,0.4080145719489982,0.015389870334969627
Jordan,2,34,0.15178571428571427,0.002007665037835999,0.5011185682326622,0.09818735059461595
Sao Tome and Principe,1,3,0.013392857142857142,5.0048046124279305e-06,0.3494539781591264,0.004560512453007858
Ireland,7,34,0.15178571428571427,0.002032030428822928,0.49888641425389757,0.0983964283832874
Saint Lucia,2,11,0.049107142857142856,0.002927208420268358,0.4332688588007737,0.014668809026221837
Trinidad and Tobago,2,15,0.06696428571428571,0.003720105514051244,0.44356435643564357,0.02188584934795153
Sierra Leone,1,10,0.04464285714285714,0.0003910087857525148,0.4218455743879473,0.021424871881722974
El Salvador,1,14,0.0625,0.0005198741660638786,0.4117647058823529,0.017209635564286674
Moldova,1,15,0.06696428571428571,1.689879185270275e-05,0.44356435643564357,0.05302345504025855
Uganda,3,16,0.07142857142857142,0.0017922941485867521,0.4426877470355731,0.036899387461141055
Guam,1,10,0.04464285714285714,0.0030414222535890593,0.417910447761194,0.014694290504808605
Tonga,1,3,0.013392857142857142,0.0,0.3328380386329866,0.002026479281292274
Tajikistan,3,10,0.04464285714285714,0.00011218909282078069,0.42424242424242425,0.02857369620363524
Belarus,1,28,0.125,0.0005227860867657782,0.46473029045643155,0.08381059401093545
Israel,5,40,0.17857142857142855,0.001823220684919874,0.5209302325581395,0.11865237737945342
Dominican Republic,7,28,0.125,0.0029276895996472006,0.4838012958963283,0.054659235336082974
Cambodia,3,11,0.049107142857142856,2.9833835287070394e-05,0.3783783783783784,0.01992439578565005
Western Sahara,2,2,0.008928571428571428,0.0,0.3714759535655058,0.006284778657626755
Slovenia,1,18,0.08035714285714285,0.0003325677706605808,0.4400785854616896,0.0557965015333752
Gambia,1,6,0.026785714285714284,0.0001376769396929208,0.3777403035413153,0.008990975579958507
Virgin Islands,2,8,0.03571428571428571,0.0036081760136051026,0.4400785854616896,0.010238192442633805
Palau,1,6,0.026785714285714284,0.0007801999658094748,0.36012861736334406,0.007597705562978427
Armenia,2,13,0.05803571428571428,5.654355206726063e-05,0.43159922928709055,0.0397640435081056
Kyrgyzstan,2,8,0.03571428571428571,0.00010587201966261731,0.40653357531760437,0.020748253056652868
Rwanda,2,14,0.0625,0.0008618349994992421,0.43243243243243246,0.028017729501435787
Seychelles,2,7,0.03125,4.226279281634464e-05,0.42344045368620037,0.01969965657954348
Niger,1,9,0.040178571428571425,8.513318192208447e-05,0.4226415094339623,0.019699701275556716
South Sudan,1,8,0.03571428571428571,9.549964284195483e-05,0.39928698752228164,0.01382463852059169
Christmas Island,1,2,0.008928571428571428,0.009481602338244716,0.3303834808259587,0.0011123289279852823
Tuvalu,1,1,0.004464285714285714,0.0,0.29708222811671087,0.00026497757226598987
Isle of Man,1,2,0.008928571428571428,0.0,0.3835616438356164,0.007204386988636288
French Guiana,1,4,0.017857142857142856,8.403910868463471e-05,0.4043321299638989,0.007261468027207092
